,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
39,0.212121212,0.257861635,0.307189542,0.075268817,0.075268817,0.075268817,0.025641026,0.086956522,0.081081081
40,0.212121212,0.298701299,0.351351351,0.047120419,0.092896175,0.123595506,0.058201058,0.041666667,0.058201058
41,0.25,0.265822785,0.342281879,0.069518717,0.092896175,0.086956522,0.058201058,0.052631579,0.052631579
42,0.234567901,0.351351351,0.324503311,0.098901099,0.086956522,0.086956522,0.081081081,0.063829787,0.063829787
43,0.234567901,0.324503311,0.379310345,0.086956522,0.098901099,0.111111111,0.086956522,0.098901099,0.117318436
44,0.25,0.27388535,0.298701299,0.052631579,0.041666667,0.117318436,0.058201058,0.075268817,0.041666667
45,0.234567901,0.290322581,0.315789474,0.075268817,0.075268817,0.123595506,0.052631579,0.058201058,0.052631579
46,0.204819277,0.307189542,0.333333333,0.058201058,0.086956522,0.092896175,0.058201058,0.058201058,0.063829787
47,0.204819277,0.27388535,0.282051282,0.020408163,0.104972376,0.123595506,0.015228426,0.081081081,0.047120419
48,0.257861635,0.265822785,0.307189542,0.052631579,0.117318436,0.098901099,0.030927835,0.069518717,0.047120419
49,0.19047619,0.290322581,0.379310345,0.069518717,0.063829787,0.086956522,0.030927835,0.052631579,0.047120419
