,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
38,0.257861635,0.298701299,0.342281879,0.294498382,0.31147541,0.379310345,0.324503311,0.342281879,0.395348837
39,0.212121212,0.257861635,0.307189542,0.25,0.294498382,0.398601399,0.263157895,0.348314607,0.449275362
40,0.212121212,0.298701299,0.351351351,0.219512195,0.342281879,0.393728223,0.265822785,0.360544218,0.445783133
41,0.25,0.265822785,0.342281879,0.26984127,0.320132013,0.374570447,0.324503311,0.369863014,0.392111369
42,0.234567901,0.351351351,0.324503311,0.282051282,0.355932203,0.346801347,0.339285714,0.398601399,0.401869159
43,0.234567901,0.324503311,0.379310345,0.307189542,0.328903654,0.398601399,0.336302895,0.372997712,0.449275362
44,0.25,0.27388535,0.298701299,0.246105919,0.328903654,0.408450704,0.268498943,0.379310345,0.418439716
45,0.234567901,0.290322581,0.315789474,0.26984127,0.307189542,0.360544218,0.271186441,0.34529148,0.392111369
46,0.204819277,0.307189542,0.333333333,0.22324159,0.346801347,0.337792642,0.265822785,0.376146789,0.395348837
47,0.204819277,0.27388535,0.282051282,0.201201201,0.351351351,0.328903654,0.263157895,0.385681293,0.379310345
48,0.257861635,0.265822785,0.307189542,0.282051282,0.333333333,0.379310345,0.315789474,0.342281879,0.388888889
49,0.19047619,0.290322581,0.379310345,0.25,0.324503311,0.365187713,0.252609603,0.366742597,0.376146789
