,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
212,0.0173724885,0.024139026,0.015047429,0.0228790423,0.0201257654,0.0195932275,False,True,,,,,
213,0.01637471,0.016715123,0.0150756052,0.0200595279,0.018217119,0.0158953641,False,True,,,,,
214,0.014445815,0.0163551728,0.0189950542,0.0190354836,0.0167406493,0.0176751135,True,False,,,,,
215,0.0275147326,0.0262557569,0.0228048364,0.0332676457,0.0303911891,0.0245302967,False,True,,,,,
216,0.0222509843,0.025009796,0.0168904592,0.0277950859,0.0250230351,0.0209501276,False,True,,,,,
217,0.0333531047,0.0241091439,0.0175212575,0.0197370011,0.0265450529,0.0208152007,False,True,,,,,
218,0.0212304433,0.022335111,0.0175179362,0.019901011,0.0205657271,0.0199265236,False,True,,,,,
219,0.0228902429,0.0197099895,0.0165049862,0.0219114261,0.0224008345,0.0181074879,False,True,,,,,
220,0.0209744306,0.0187938647,0.0224731501,0.0328535465,0.0269139886,0.0206335074,False,True,,,,,
221,0.0181569723,0.0171928724,0.0173473831,0.0156041473,0.0168805598,0.0172701278,True,False,,,,,
222,0.0186550749,0.0178579888,0.0225087673,0.0195599206,0.0191074977,0.020183378,True,False,,,,,
223,0.0157332249,0.0127057139,0.0144535879,0.0188714773,0.0173023511,0.0135796509,False,True,,,,,
224,0.0156677024,0.0217193111,0.0182722754,0.0179444616,0.016806082,0.0199957933,True,False,,,,,
225,0.0233907283,0.023581194,0.0197712492,0.0180116732,0.0207012007,0.0216762216,True,False,,,,,
226,0.0445412042,0.0265222959,0.0203236418,0.0340291214,0.0392851628,0.0234229688,False,True,,,,,
227,0.0137671916,0.0158436894,0.0145101137,0.0120430992,0.0129051454,0.0151769016,True,False,,,,,
228,0.0250275809,0.0276690891,0.0212428867,0.0236601673,0.0243438741,0.0244559879,True,False,,,,,
229,0.0328187569,0.0260427823,0.0222317977,0.0284589098,0.0306388334,0.02413729,False,True,,,,,
230,0.0238349077,0.0300515851,0.020860993,0.024461394,0.0241481509,0.025456289,True,False,,,,,
231,0.0224213763,0.0252364525,0.0238815725,0.0251136909,0.0237675336,0.0245590125,True,False,,,,,
232,0.0497636615,0.0469504376,0.0396175462,0.0433912655,0.0465774635,0.0432839919,False,True,,,,,
233,0.0149283998,0.0182377638,0.0138080027,0.0223692666,0.0186488332,0.0160228832,False,True,,,,,
234,0.0335065826,0.0283099005,0.0306859572,0.0462326552,0.0398696189,0.0294979289,False,True,,,,,
235,0.0229233553,0.0179161681,0.0173004962,0.0145316635,0.0187275094,0.0176083321,False,True,,,,,
236,0.0309285236,0.0257340885,0.0268986867,0.0374879477,0.0342082356,0.0263163876,False,True,,,,,
237,0.0229435595,0.0247477384,0.0296165866,0.0235377223,0.0232406409,0.0271821625,True,False,,,,,
238,0.0505961964,0.0346355242,0.0353676307,0.0571259681,0.0538610822,0.0350015775,False,True,,,,,
239,0.0145525703,0.0155430026,0.0164689127,0.0173567437,0.015954657,0.0160059577,True,False,,,,,
240,0.0185522203,0.0187666459,0.0127130503,0.0129807564,0.0157664883,0.0157398481,False,True,,,,,
241,0.0113912407,0.0131556213,0.0079137424,0.0155242382,0.0134577394,0.0105346818,False,True,,,,,
242,0.0214077116,0.0132029681,0.0146019495,0.0158045417,0.0186061266,0.0139024588,False,True,,,,,
243,0.0190063363,0.0161961159,0.0267606877,0.0179192241,0.0184627802,0.0214784018,True,False,,,,,
244,0.0163329784,0.0126172641,0.0113278733,0.0182285539,0.0172807661,0.0119725687,False,True,,,,,
245,0.029716129,0.0230080386,0.0184616431,0.0258848913,0.0278005101,0.0207348409,False,True,,,,,
246,0.0225852261,0.0290117578,0.0394844682,0.0215100415,0.0220476338,0.034248113,True,False,,,,,
247,0.0383661837,0.0317162249,0.0271379637,0.0357140148,0.0370400992,0.0294270943,False,True,,,,,
248,0.0128179804,0.0113155459,0.0108042917,0.0168641846,0.0148410825,0.0110599188,False,True,,,,,
249,0.0377486516,0.0306548137,0.0352979393,0.0350363102,0.0363924809,0.0329763765,False,True,,,,,
250,0.0281246082,0.015829835,0.0291062423,0.0186875421,0.0234060751,0.0224680386,False,True,,,,,
251,0.0179840412,0.0125003123,0.013597506,0.0139327994,0.0159584203,0.0130489092,False,True,,,,,
252,0.0382939669,0.0320369907,0.0378578326,0.0431832791,0.040738623,0.0349474117,False,True,,,,,
253,0.0271303006,0.0195722114,0.0215620596,0.0246061002,0.0258682004,0.0205671355,False,True,,,,,
254,0.0316553204,0.0302368672,0.0333276136,0.0323905822,0.0320229513,0.0317822404,False,True,,,,,
