,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
150,0.0037077087,0.0040763962,0.0060284664,0.0051885758,0.0044481423,0.0050524313,True,False,,,,
151,0.004650525,0.0046881714,0.0050587657,0.0045189201,0.0045847225,0.0048734686,True,False,,,,
152,0.0046253864,0.0074788526,0.0044047305,0.0067365415,0.0056809639,0.0059417915,True,False,,,,
153,0.0026600923,0.0046745475,0.0035068123,0.0027557195,0.0027079059,0.0040906799,True,False,,,,
154,0.0038428915,0.0043233813,0.0045653047,0.0043548996,0.0040988956,0.004444343,True,False,,,,
155,0.0041786393,0.0053878309,0.0049273773,0.0049520813,0.0045653603,0.0051576041,True,False,,,,
156,0.0071919209,0.0089906209,0.0077825128,0.0069561945,0.0070740577,0.0083865668,True,False,,,,
157,0.0032024552,0.0035086561,0.0035883078,0.0028422031,0.0030223291,0.003548482,True,False,,,,
158,0.0052955595,0.0048775288,0.00415063,0.0036326623,0.0044641109,0.0045140794,True,False,,,,
159,0.0033787852,0.0037374597,0.0043820529,0.0036152076,0.0034969964,0.0040597563,True,False,,,,
160,0.0028329012,0.0041558224,0.0036852222,0.0035668186,0.0031998599,0.0039205223,True,False,,,,
161,0.0043522209,0.0057112527,0.0046116131,0.0054505266,0.0049013738,0.0051614329,True,False,,,,
162,0.0048391542,0.0056467419,0.0050225515,0.0034628423,0.0041509983,0.0053346467,True,False,,,,
163,0.0053027205,0.0049002205,0.0057581405,0.0038312915,0.004567006,0.0053291805,True,False,,,,
164,0.0042032633,0.0077112431,0.0058925445,0.0036604325,0.0039318479,0.0068018938,True,False,,,,
165,0.0024069026,0.0039115336,0.0056712662,0.0033278569,0.0028673798,0.0047913999,True,False,,,,
166,0.0030541319,0.0034759041,0.0042127366,0.0032673056,0.0031607187,0.0038443203,True,False,,,,
167,0.008193329,0.0052971173,0.0064011974,0.0067375598,0.0074654444,0.0058491574,False,True,,,,
168,0.0041741273,0.0054860676,0.0043241617,0.0035861063,0.0038801168,0.0049051146,True,False,,,,
169,0.0054216953,0.0049098765,0.0046902453,0.0068714071,0.0061465512,0.0048000609,False,True,,,,
170,0.0086494199,0.0097250974,0.0093404288,0.00946972,0.0090595699,0.0095327631,True,False,,,,
171,0.0044999718,0.0032601096,0.004840525,0.0049402023,0.0047200871,0.0040503173,False,True,,,,
172,0.0052454033,0.0048975975,0.0032806204,0.003940842,0.0045931226,0.004089109,False,True,,,,
173,0.0039515798,0.0036900599,0.0050256255,0.0039540172,0.0039527985,0.0043578427,True,False,,,,
174,0.0045224029,0.0055894338,0.0056532222,0.0046699404,0.0045961717,0.005621328,True,False,,,,
175,0.0055051456,0.004835719,0.0064438554,0.0038843581,0.0046947519,0.0056397872,True,False,,,,
176,0.0049673572,0.006045066,0.0050592775,0.0043973372,0.0046823472,0.0055521717,True,False,,,,
177,0.0047860277,0.0050418783,0.0048572152,0.0047431903,0.004764609,0.0049495468,True,False,,,,
178,0.0077336973,0.0078568073,0.0082733556,0.0051968149,0.0064652561,0.0080650815,True,False,,,,
179,0.0027628971,0.0036909104,0.005039172,0.0028198179,0.0027913575,0.0043650412,True,False,,,,
180,0.0031078634,0.003762746,0.0035318678,0.0038584425,0.0034831529,0.0036473069,True,False,,,,
181,0.0024780293,0.0029727058,0.0016470501,0.0030802144,0.0027791218,0.0023098779,False,True,,,,
182,0.0054045092,0.0059235957,0.0067947203,0.0050999715,0.0052522404,0.006359158,True,False,,,,
183,0.0030282859,0.0033745104,0.0033322806,0.0031164259,0.0030723559,0.0033533955,True,False,,,,
184,0.0049654649,0.0054444807,0.0058203973,0.0047801349,0.0048727999,0.005632439,True,False,,,,
185,0.0035857838,0.0046449605,0.0043094796,0.0033826864,0.0034842351,0.0044772201,True,False,,,,
186,0.0053572887,0.0053561106,0.0063021807,0.0047453725,0.0050513306,0.0058291457,True,False,,,,
187,0.0044684774,0.0046052942,0.0042998955,0.003618617,0.0040435472,0.0044525948,True,False,,,,
188,0.0042381247,0.0052498971,0.0059318961,0.0058030675,0.0050205961,0.0055908966,True,False,,,,
189,0.0050910037,0.0040657639,0.0037538797,0.0037294632,0.0044102334,0.0039098218,False,True,,,,
190,0.0025505505,0.0034277669,0.0032778611,0.0027139491,0.0026322498,0.003352814,True,False,,,,
191,0.002216376,0.0026968046,0.0033859579,0.0029570167,0.0025866963,0.0030413813,True,False,,,,
192,0.004877603,0.0060669392,0.0039108877,0.005278219,0.005077911,0.0049889134,False,True,,,,
