,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
42,0.0536148635,0.0205285548,0.0293459428,0.0384068856,0.0460108745,0.0249372488,False,True,,,,
43,0.0563978338,0.037795322,0.0399111344,0.0525474378,0.0544726358,0.0388532282,False,True,,,,
44,0.0600516604,0.0594708416,0.0555928237,0.0739564741,0.0670040673,0.0575318327,False,True,,,,
45,0.1005202271,0.0608725675,0.0712602791,0.0923795681,0.0964498976,0.0660664233,False,True,,,,
46,0.0412842224,0.0338797665,0.0369693982,0.0467103349,0.0439972786,0.0354245823,False,True,,,,
47,0.0496200774,0.0321524844,0.036591052,0.073155389,0.0613877332,0.0343717682,False,True,,,,
48,0.0877359825,0.0514350045,0.0642212693,0.0644567668,0.0760963747,0.0578281369,False,True,,,,
49,0.0746061833,0.0672493781,0.0821726206,0.1032080664,0.0889071249,0.0747109993,False,True,,,,
50,0.0529612312,0.0490443016,0.0508064098,0.0665606416,0.0597609364,0.0499253557,False,True,,,,
51,0.1078663597,0.05913502,0.05604444,0.0859315214,0.0968989406,0.05758973,False,True,,,,
52,0.1227821822,0.0789657252,0.1022368522,0.1071964226,0.1149893024,0.0906012887,False,True,,,,
53,0.060710854,0.0606893104,0.0616265703,0.074912379,0.0678116165,0.0611579403,False,True,,,,
54,0.1163275374,0.0915377578,0.0809889324,0.1216114198,0.1189694786,0.0862633451,False,True,,,,
55,0.0944528627,0.0500121924,0.0492828203,0.0576028299,0.0760278463,0.0496475064,False,True,,,,
56,0.1003878883,0.0571171109,0.0670002965,0.0793805807,0.0898842345,0.0620587037,False,True,,,,
57,0.094702483,0.0558904664,0.0457263498,0.0628577665,0.0787801247,0.0508084081,False,True,,,,
58,0.0849711759,0.0568770314,0.0703567637,0.079309638,0.0821404069,0.0636168975,False,True,,,,
59,0.096659579,0.072116214,0.0601173359,0.0772362897,0.0869479344,0.0661167749,False,True,,,,
60,0.11757241,0.0824211262,0.0820347049,0.1138076861,0.115690048,0.0822279156,False,True,,,,
61,0.0816001668,0.0599336452,0.074014638,0.0913039479,0.0864520574,0.0669741416,False,True,,,,
