,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
59,0.1149709646,0.1207961954,0.1220022278,0.1116815528,0.1133262587,0.1213992116,True,False,,,,
60,0.1056223018,0.1332188839,0.1205509006,0.1086204139,0.1071213578,0.1268848923,True,False,,,,
61,0.1115206662,0.1193307934,0.1277135685,0.1382616899,0.1248911781,0.1235221809,False,True,,,,
62,0.0591068661,0.0572634321,0.0687375316,0.0510498884,0.0550783772,0.0630004818,True,False,,,,
63,0.0602431995,0.0893075142,0.076346405,0.0629994791,0.0616213393,0.0828269596,True,False,,,,
64,0.085184472,0.1065383297,0.1265223048,0.1001853054,0.0926848887,0.1165303172,True,False,,,,
65,0.0854771623,0.1310557416,0.1183131585,0.0992676161,0.0923723892,0.1246844501,True,False,,,,
66,0.0735690124,0.1043634262,0.0851745613,0.0895089016,0.081538957,0.0947689937,True,False,,,,
67,0.073422345,0.1152712081,0.0842053878,0.0669878958,0.0702051204,0.0997382979,True,False,,,,
68,0.0936730311,0.0788291228,0.1018453431,0.060117381,0.076895206,0.090337233,True,False,,,,
69,0.0620733828,0.0933796185,0.0892359884,0.0636926839,0.0628830333,0.0913078034,True,False,,,,
70,0.0805304839,0.0899537262,0.0701727211,0.084884163,0.0827073235,0.0800632237,False,True,,,,
71,0.1235984772,0.1355389946,0.1158317979,0.1105379922,0.1170682347,0.1256853963,True,False,,,,
72,0.1300350932,0.123419072,0.1371984447,0.1673983547,0.148716724,0.1303087584,False,True,,,,
73,0.0599818319,0.0701001979,0.068996794,0.0630127141,0.061497273,0.069548496,True,False,,,,
74,0.0563658115,0.0609006054,0.0554842754,0.0505092261,0.0534375188,0.0581924404,True,False,,,,
75,0.1466975797,0.1512170602,0.1170933252,0.1279736784,0.1373356291,0.1341551927,False,True,,,,
76,0.117511352,0.1583206491,0.1535139453,0.1330743137,0.1252928328,0.1559172972,True,False,,,,
77,0.0783456075,0.064869943,0.1086449857,0.0735119161,0.0759287618,0.0867574644,True,False,,,,
78,0.1056951692,0.122395532,0.2187472787,0.1118143524,0.1087547608,0.1705714053,True,False,,,,
79,0.0837965833,0.0933348127,0.0916087671,0.0782139883,0.0810052858,0.0924717899,True,False,,,,
80,0.118539893,0.1293232214,0.1052880888,0.1362735839,0.1274067384,0.1173056551,False,True,,,,
81,0.123925722,0.1550758918,0.1395845584,0.1164780629,0.1202018925,0.1473302251,True,False,,,,
82,0.0494811013,0.0675273048,0.0539532807,0.0489924772,0.0492367893,0.0607402928,True,False,,,,
83,0.137768908,0.1314521697,0.1072945418,0.0946514598,0.1162101839,0.1193733558,True,False,,,,
84,0.1118453097,0.1326427438,0.1595074889,0.1275043858,0.1196748477,0.1460751163,True,False,,,,
85,0.0884779886,0.1402011738,0.0962773462,0.0985127707,0.0934953796,0.11823926,True,False,,,,
86,0.0976483868,0.110468341,0.0985662003,0.1011197815,0.0993840842,0.1045172706,True,False,,,,
87,0.0874090658,0.0831134133,0.115655598,0.0749500967,0.0811795813,0.0993845057,True,False,,,,
88,0.0773929605,0.1263866384,0.1032224423,0.1322958753,0.1048444179,0.1148045404,True,False,,,,
89,0.1028562504,0.1177440272,0.1445811686,0.0696863705,0.0862713104,0.1311625979,True,False,,,,
90,0.0600185876,0.1361401088,0.109091777,0.0960747,0.0780466438,0.1226159429,True,False,,,,
91,0.0697097822,0.0813167595,0.0811431983,0.0710442585,0.0703770203,0.0812299789,True,False,,,,
92,0.0725464178,0.0694901166,0.0968712643,0.0848350833,0.0786907505,0.0831806904,True,False,,,,
93,0.0680130316,0.0899330686,0.1141748127,0.1050315778,0.0865223047,0.1020539407,True,False,,,,
94,0.1391118654,0.1449885344,0.1037565842,0.1377312989,0.1384215821,0.1243725593,False,True,,,,
95,0.1188892961,0.1385227369,0.1116757242,0.119213568,0.119051432,0.1250992305,True,False,,,,
96,0.0868619477,0.0827805209,0.1091886455,0.1026246875,0.0947433176,0.0959845832,True,False,,,,
97,0.0812597164,0.0902134133,0.1010400063,0.1149659358,0.0981128261,0.0956267098,False,True,,,,
98,0.0783312574,0.0942823079,0.1369796455,0.0770722415,0.0777017494,0.1156309767,True,False,,,,
99,0.0931028797,0.1391888237,0.1471449377,0.0966366188,0.0948697492,0.1431668807,True,False,,,,
100,0.1469277151,0.1664567632,0.1449500847,0.1670894108,0.1570085629,0.155703424,False,True,,,,
101,0.0607681969,0.0645442111,0.0658025091,0.0680337007,0.0644009488,0.0651733601,True,False,,,,
102,0.1008850887,0.1565306266,0.130758375,0.1208517636,0.1108684261,0.1436445008,True,False,,,,
103,0.1065112615,0.1016794467,0.1106266536,0.0985611011,0.1025361813,0.1061530501,True,False,,,,
104,0.1041444976,0.1281145085,0.1060624156,0.0916623896,0.0979034436,0.117088462,True,False,,,,
105,0.1405407004,0.1455647242,0.1469740017,0.1035152397,0.1220279701,0.1462693629,True,False,,,,
106,0.0341297837,0.0448169115,0.0566354897,0.051433286,0.0427815349,0.0507262006,True,False,,,,
107,0.1148834998,0.1286470692,0.1597070659,0.1116376256,0.1132605627,0.1441770676,True,False,,,,
108,0.0835688398,0.0776117554,0.0875384299,0.0945275576,0.0890481987,0.0825750926,False,True,,,,
109,0.0576093139,0.0631952372,0.061557651,0.0705710601,0.064090187,0.0623764441,False,True,,,,
110,0.0802223877,0.11251402,0.0824776267,0.0949738945,0.0875981411,0.0974958234,True,False,,,,
111,0.1395505274,0.1433937708,0.1643978961,0.1342593738,0.1369049506,0.1538958335,True,False,,,,
112,0.1285783632,0.1948365874,0.1499628899,0.1320950052,0.1303366842,0.1723997387,True,False,,,,
113,0.0843443575,0.103544778,0.075003371,0.0757058809,0.0800251192,0.0892740745,True,False,,,,
114,0.0775762247,0.1125378108,0.1033255254,0.1056647582,0.0916204915,0.1079316681,True,False,,,,
115,0.0789758822,0.0983669323,0.0682096902,0.0588764284,0.0689261553,0.0832883113,True,False,,,,
116,0.0709891726,0.0730423917,0.0801624919,0.0829595848,0.0769743787,0.0766024418,False,True,,,,
117,0.1301934363,0.1269674264,0.1238790066,0.0998408287,0.1150171325,0.1254232165,True,False,,,,
118,0.1204928971,0.1308768906,0.1680401461,0.1369273761,0.1287101366,0.1494585183,True,False,,,,
119,0.0445630029,0.0441656193,0.0538481283,0.0607334275,0.0526482152,0.0490068738,False,True,,,,
120,0.0928883415,0.1124518425,0.075558639,0.0682879981,0.0805881698,0.0940052407,True,False,,,,
121,0.0669040566,0.0705533931,0.0922436903,0.0729872519,0.0699456542,0.0813985417,True,False,,,,
