,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
82,0.0645818946,0.0822452916,0.0671953532,0.0667884716,0.0656851831,0.0747203224,True,False,,,,,
83,0.1467138688,0.1290260595,0.0896528653,0.0769098128,0.1118118408,0.1093394624,False,True,,,,,
84,0.0658915746,0.0934270079,0.1049942795,0.061239063,0.0635653188,0.0992106437,True,False,,,,,
85,0.1263218058,0.1616459877,0.1464532598,0.1308435143,0.1285826601,0.1540496237,True,False,,,,,
86,0.1149377661,0.1525035514,0.0865070258,0.0856131274,0.1002754468,0.1195052886,True,False,,,,,
87,0.1726538981,0.13012003,0.2087272457,0.1231101778,0.147882038,0.1694236378,True,False,,,,,
88,0.0981419427,0.1302127105,0.1051707126,0.1164607451,0.1073013439,0.1176917115,True,False,,,,,
89,0.0841464937,0.09901447,0.1048758391,0.0549853158,0.0695659048,0.1019451546,True,False,,,,,
90,0.1087123044,0.1679622568,0.1264692362,0.129721122,0.1192167132,0.1472157465,True,False,,,,,
91,0.0858782011,0.0632526463,0.0810117971,0.0719141532,0.0788961772,0.0721322217,False,True,,,,,
92,0.1038930005,0.0976944757,0.0790160849,0.0940395867,0.0989662936,0.0883552803,False,True,,,,,
93,0.1543321851,0.1190650431,0.1255094254,0.1448911977,0.1496116914,0.1222872342,False,True,,,,,
94,0.1042463866,0.0889824856,0.0825395154,0.0716463344,0.0879463605,0.0857610005,False,True,,,,,
95,0.1513447443,0.1397025752,0.0890159848,0.1162613179,0.1338030311,0.11435928,False,True,,,,,
96,0.0899229228,0.0811135816,0.0859800687,0.0758817376,0.0829023302,0.0835468251,True,False,,,,,
97,0.0977871345,0.110297153,0.0965574911,0.1162711735,0.107029154,0.103427322,False,True,,,,,
98,0.1237132826,0.1300943132,0.1507083031,0.0857894011,0.1047513418,0.1404013081,True,False,,,,,
99,0.1126494784,0.1180379949,0.1479540229,0.0811527889,0.0969011337,0.1329960089,True,False,,,,,
100,0.1774300216,0.1658046563,0.1689972139,0.1693041423,0.1733670819,0.1674009351,False,True,,,,,
101,0.0503331013,0.0536271671,0.059996685,0.0399123887,0.045122745,0.056811926,True,False,,,,,
102,0.0963046692,0.1160460623,0.1393716796,0.091360573,0.0938326211,0.127708871,True,False,,,,,
103,0.1389217358,0.1242195502,0.1029291749,0.0851482629,0.1120349994,0.1135743626,True,False,,,,,
104,0.1240799671,0.1351444007,0.1201886086,0.1298375522,0.1269587596,0.1276665046,True,False,,,,,
105,0.1108758584,0.1173503749,0.1470610866,0.0805691237,0.0957224911,0.1322057308,True,False,,,,,
106,0.0444868387,0.0523153933,0.0630234086,0.0524147117,0.0484507752,0.0576694009,True,False,,,,,
107,0.2032970763,0.1955933079,0.1997144661,0.1613726137,0.182334845,0.197653887,True,False,,,,,
108,0.1264208819,0.1138678888,0.103047256,0.1285267631,0.1274738225,0.1084575724,False,True,,,,,
109,0.0746708846,0.0800238724,0.0727241703,0.0740694469,0.0743701657,0.0763740213,True,False,,,,,
110,0.0725752987,0.0899913258,0.07405946,0.0695134164,0.0710443575,0.0820253929,True,False,,,,,
111,0.17825908,0.1560276012,0.1452814071,0.1300685572,0.1541638186,0.1506545042,False,True,,,,,
112,0.1281297434,0.1980771022,0.1395805567,0.1064016959,0.1172657196,0.1688288294,True,False,,,,,
113,0.1312778503,0.1120935902,0.134027356,0.0789364355,0.1051071429,0.1230604731,True,False,,,,,
114,0.1011989678,0.1529180489,0.1211990308,0.1325459702,0.116872469,0.1370585398,True,False,,,,,
115,0.0717685836,0.0667497815,0.0579547712,0.0417043999,0.0567364917,0.0623522763,True,False,,,,,
116,0.1003862119,0.0788403646,0.1083953051,0.088314681,0.0943504464,0.0936178349,False,True,,,,,
117,0.1343152685,0.0970545215,0.1194529559,0.0775198446,0.1059175565,0.1082537387,True,False,,,,,
118,0.1070854821,0.1105893831,0.1294113208,0.1045865068,0.1058359944,0.1200003519,True,False,,,,,
119,0.054059323,0.0513853122,0.0380890311,0.0461491536,0.0501042383,0.0447371717,False,True,,,,,
120,0.0687656293,0.0859133379,0.0906797162,0.0472663686,0.058015999,0.0882965271,True,False,,,,,
121,0.0721012923,0.0688046087,0.0784569978,0.0483473536,0.060224323,0.0736308033,True,False,,,,,
122,0.1788696548,0.1326822089,0.1458394288,0.1017432549,0.1403064549,0.1392608188,False,True,,,,,
123,0.1038767866,0.1009281142,0.0930699095,0.0757014151,0.0897891008,0.0969990119,True,False,,,,,
124,0.0835571934,0.1066527198,0.0815324956,0.0671071574,0.0753321754,0.0940926077,True,False,,,,,
125,0.1792332265,0.1726853926,0.1785111076,0.1450670297,0.1621501281,0.1755982501,True,False,,,,,
126,0.053902375,0.0410710739,0.0542058001,0.047765918,0.0508341465,0.047638437,False,True,,,,,
127,0.1411364541,0.1107944786,0.0971295293,0.1070290775,0.1240827658,0.103962004,False,True,,,,,
128,0.1163542395,0.1563991847,0.1334055966,0.0932128233,0.1047835314,0.1449023907,True,False,,,,,
129,0.0960803584,0.1245475843,0.1007404811,0.087295548,0.0916879532,0.1126440327,True,False,,,,,
130,0.1061852407,0.1197258198,0.1413383539,0.0874592957,0.0968222682,0.1305320869,True,False,,,,,
131,0.1042832886,0.1057656039,0.1016955824,0.0680360654,0.086159677,0.1037305932,True,False,,,,,
132,0.1119390645,0.0917002148,0.1521929974,0.0924388071,0.1021889358,0.1219466061,True,False,,,,,
