,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,
19,0.0142176498,0.007555371,0.0066724888,0.0094042049,0.0118109274,0.0071139299,False,True,,,
20,0.0046941113,0.0043662314,0.0038217698,0.0041866457,0.0044403785,0.0040940006,False,True,,,
21,0.0044424929,0.0031941421,0.0032484198,0.0032956978,0.0038690954,0.003221281,False,True,,,
22,0.0080656438,0.0068166264,0.0052514571,0.007341626,0.0077036349,0.0060340417,False,True,,,
23,0.0051242044,0.0043053031,0.0038824838,0.0053012137,0.005212709,0.0040938934,False,True,,,
24,0.0071407092,0.0062239728,0.0049206338,0.0060629066,0.0066018079,0.0055723033,False,True,,,
25,0.0082549159,0.0066048556,0.0066026846,0.0070129889,0.0076339524,0.0066037701,False,True,,,
26,0.0041185344,0.0025474201,0.002676597,0.0034164729,0.0037675036,0.0026120085,False,True,,,
27,0.0042697779,0.0046402986,0.0068277818,0.0047125788,0.0044911783,0.0057340402,True,False,,,
28,0.0046332591,0.00534797,0.0055883169,0.0062513819,0.0054423205,0.0054681435,True,False,,,
29,0.0095781722,0.0061136351,0.0061052461,0.0054808658,0.007529519,0.0061094406,False,True,,,
30,0.0043858962,0.0046052872,0.0039372192,0.0038450236,0.0041154599,0.0042712532,True,False,,,
31,0.0096873792,0.0071044612,0.0059654292,0.0066956855,0.0081915324,0.0065349452,False,True,,,
32,0.0053500824,0.0041240211,0.0046371502,0.0051959776,0.00527303,0.0043805856,False,True,,,
33,0.0035705607,0.0044705125,0.0035890122,0.003729427,0.0036499938,0.0040297624,True,False,,,
34,0.0049702534,0.0050905402,0.0044383064,0.0047224962,0.0048463748,0.0047644233,False,True,,,
35,0.0048973839,0.0056614889,0.0057580489,0.0048462755,0.0048718297,0.0057097689,True,False,,,
36,0.0038044373,0.0038795317,0.00650994,0.0063374326,0.0050709349,0.0051947358,True,False,,,
37,0.007441469,0.0065629213,0.0069978835,0.0075986781,0.0075200735,0.0067804024,False,True,,,
38,0.0041976455,0.0045220018,0.0047965862,0.0071211645,0.005659405,0.004659294,False,True,,,
39,0.0030362244,0.0028806792,0.0029848479,0.0019102773,0.0024732508,0.0029327635,True,False,,,
40,0.0049583542,0.0039292323,0.0041964515,0.0063579419,0.005658148,0.0040628419,False,True,,,
41,0.0048176229,0.004607436,0.0053836209,0.0051587299,0.0049881764,0.0049955285,True,False,,,
