,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
38,0.428571429,0.550387597,0.538461538,0.142857143,0.234567901,0.176470588,0.086956522,0.098901099,0.117318436
39,0.492537313,0.57480315,0.481481481,0.149425287,0.162790698,0.104972376,0.092896175,0.111111111,0.086956522
40,0.492537313,0.515151515,0.470588235,0.162790698,0.169590643,0.149425287,0.075268817,0.123595506,0.104972376
41,0.438848921,0.538461538,0.526717557,0.123595506,0.204819277,0.169590643,0.111111111,0.098901099,0.104972376
42,0.438848921,0.515151515,0.5625,0.136363636,0.19760479,0.19047619,0.092896175,0.111111111,0.149425287
43,0.459854015,0.481481481,0.5625,0.136363636,0.142857143,0.212121212,0.098901099,0.111111111,0.111111111
44,0.470588235,0.5625,0.470588235,0.162790698,0.204819277,0.176470588,0.075268817,0.111111111,0.098901099
45,0.449275362,0.550387597,0.587301587,0.169590643,0.226993865,0.183431953,0.069518717,0.111111111,0.081081081
46,0.481481481,0.515151515,0.612903226,0.162790698,0.176470588,0.212121212,0.104972376,0.104972376,0.149425287
47,0.515151515,0.5625,0.492537313,0.162790698,0.19047619,0.183431953,0.104972376,0.123595506,0.149425287
48,0.449275362,0.550387597,0.449275362,0.142857143,0.176470588,0.142857143,0.081081081,0.075268817,0.111111111
49,0.481481481,0.550387597,0.538461538,0.162790698,0.176470588,0.169590643,0.092896175,0.136363636,0.098901099
50,0.481481481,0.538461538,0.550387597,0.169590643,0.176470588,0.204819277,0.063829787,0.092896175,0.075268817
51,0.503759398,0.481481481,0.515151515,0.156069364,0.142857143,0.149425287,0.129943503,0.111111111,0.075268817
52,0.408450704,0.587301587,0.538461538,0.111111111,0.169590643,0.162790698,0.052631579,0.111111111,0.117318436
53,0.57480315,0.538461538,0.515151515,0.19760479,0.19047619,0.204819277,0.129943503,0.117318436,0.123595506
54,0.538461538,0.470588235,0.587301587,0.204819277,0.104972376,0.19047619,0.104972376,0.069518717,0.117318436
55,0.503759398,0.526717557,0.550387597,0.136363636,0.176470588,0.156069364,0.098901099,0.111111111,0.117318436
56,0.503759398,0.538461538,0.57480315,0.183431953,0.183431953,0.226993865,0.092896175,0.123595506,0.162790698
57,0.492537313,0.503759398,0.5625,0.219512195,0.142857143,0.19047619,0.086956522,0.129943503,0.111111111
58,0.418439716,0.515151515,0.459854015,0.129943503,0.162790698,0.098901099,0.086956522,0.123595506,0.123595506
59,0.449275362,0.538461538,0.550387597,0.149425287,0.169590643,0.19047619,0.098901099,0.123595506,0.117318436
60,0.428571429,0.587301587,0.492537313,0.123595506,0.212121212,0.169590643,0.098901099,0.149425287,0.104972376
61,0.481481481,0.538461538,0.538461538,0.149425287,0.204819277,0.183431953,0.104972376,0.092896175,0.117318436
62,0.492537313,0.5625,0.492537313,0.156069364,0.176470588,0.183431953,0.086956522,0.117318436,0.104972376
63,0.538461538,0.492537313,0.6,0.156069364,0.162790698,0.226993865,0.069518717,0.086956522,0.123595506
64,0.388888889,0.515151515,0.538461538,0.104972376,0.156069364,0.183431953,0.086956522,0.086956522,0.098901099
65,0.481481481,0.538461538,0.587301587,0.176470588,0.176470588,0.183431953,0.117318436,0.136363636,0.156069364
66,0.408450704,0.515151515,0.57480315,0.149425287,0.212121212,0.183431953,0.098901099,0.075268817,0.098901099
67,0.492537313,0.587301587,0.550387597,0.19047619,0.176470588,0.176470588,0.086956522,0.129943503,0.156069364
68,0.428571429,0.57480315,0.470588235,0.111111111,0.169590643,0.149425287,0.086956522,0.129943503,0.104972376
69,0.5625,0.6,0.515151515,0.142857143,0.176470588,0.162790698,0.098901099,0.111111111,0.142857143
70,0.449275362,0.503759398,0.587301587,0.104972376,0.219512195,0.204819277,0.092896175,0.117318436,0.098901099
71,0.470588235,0.526717557,0.515151515,0.162790698,0.149425287,0.149425287,0.129943503,0.142857143,0.098901099
72,0.503759398,0.538461538,0.526717557,0.183431953,0.19760479,0.19047619,0.086956522,0.104972376,0.129943503
73,0.449275362,0.503759398,0.538461538,0.169590643,0.136363636,0.162790698,0.086956522,0.111111111,0.098901099
74,0.5625,0.57480315,0.515151515,0.169590643,0.212121212,0.219512195,0.098901099,0.129943503,0.129943503
75,0.470588235,0.538461538,0.550387597,0.162790698,0.176470588,0.183431953,0.104972376,0.069518717,0.104972376
76,0.481481481,0.538461538,0.57480315,0.176470588,0.136363636,0.169590643,0.098901099,0.117318436,0.104972376
77,0.438848921,0.503759398,0.515151515,0.169590643,0.183431953,0.156069364,0.075268817,0.117318436,0.086956522
78,0.459854015,0.492537313,0.515151515,0.117318436,0.156069364,0.136363636,0.098901099,0.098901099,0.136363636
79,0.459854015,0.492537313,0.538461538,0.104972376,0.162790698,0.162790698,0.092896175,0.123595506,0.086956522
80,0.438848921,0.5625,0.550387597,0.098901099,0.19047619,0.176470588,0.081081081,0.123595506,0.149425287
81,0.503759398,0.481481481,0.481481481,0.142857143,0.149425287,0.19760479,0.086956522,0.086956522,0.104972376
82,0.503759398,0.515151515,0.481481481,0.129943503,0.156069364,0.176470588,0.081081081,0.086956522,0.111111111
83,0.503759398,0.515151515,0.538461538,0.142857143,0.149425287,0.212121212,0.111111111,0.156069364,0.149425287
84,0.418439716,0.503759398,0.515151515,0.117318436,0.117318436,0.183431953,0.081081081,0.129943503,0.117318436
85,0.438848921,0.538461538,0.5625,0.129943503,0.136363636,0.226993865,0.123595506,0.086956522,0.098901099
86,0.481481481,0.526717557,0.503759398,0.204819277,0.162790698,0.19047619,0.111111111,0.111111111,0.098901099
87,0.515151515,0.538461538,0.550387597,0.149425287,0.123595506,0.219512195,0.098901099,0.069518717,0.117318436
88,0.470588235,0.550387597,0.550387597,0.117318436,0.183431953,0.129943503,0.058201058,0.117318436,0.111111111
89,0.515151515,0.5625,0.515151515,0.162790698,0.226993865,0.19047619,0.129943503,0.123595506,0.098901099
90,0.481481481,0.538461538,0.492537313,0.19047619,0.19760479,0.156069364,0.086956522,0.111111111,0.111111111
91,0.492537313,0.57480315,0.5625,0.212121212,0.19047619,0.176470588,0.123595506,0.111111111,0.104972376
92,0.538461538,0.538461538,0.515151515,0.142857143,0.234567901,0.156069364,0.098901099,0.129943503,0.123595506
93,0.459854015,0.459854015,0.492537313,0.142857143,0.123595506,0.162790698,0.092896175,0.069518717,0.142857143
94,0.449275362,0.459854015,0.57480315,0.19047619,0.176470588,0.19047619,0.086956522,0.104972376,0.117318436
95,0.449275362,0.57480315,0.587301587,0.123595506,0.162790698,0.25,0.092896175,0.117318436,0.142857143
96,0.470588235,0.5625,0.587301587,0.156069364,0.19760479,0.19760479,0.142857143,0.136363636,0.086956522
97,0.438848921,0.492537313,0.57480315,0.117318436,0.156069364,0.136363636,0.098901099,0.117318436,0.129943503
98,0.5625,0.515151515,0.526717557,0.19760479,0.142857143,0.204819277,0.098901099,0.098901099,0.156069364
99,0.503759398,0.526717557,0.6,0.129943503,0.162790698,0.19760479,0.111111111,0.142857143,0.086956522
