,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
38,0.4492753623,0.5151515152,0.5151515152,0.5037593985,0.5094339623,0.5094339623,0.4851485149,0.5113350126,0.5113350126
39,0.4598540146,0.5384615385,0.5503875969,0.5267175573,0.5267175573,0.5384615385,0.5584415584,0.5228426396,0.5584415584
40,0.4925373134,0.4705882353,0.5748031496,0.5325670498,0.5325670498,0.5151515152,0.5345268542,0.5189873418,0.4742014742
41,0.4598540146,0.5267175573,0.5384615385,0.5325670498,0.5209125475,0.4981273408,0.5424164524,0.4962593516,0.5075376884
42,0.4925373134,0.4388489209,0.5625,0.5384615385,0.5564202335,0.5151515152,0.5306122449,0.5228426396,0.5267175573
43,0.4598540146,0.5151515152,0.4814814815,0.4760147601,0.5209125475,0.5444015444,0.4888337469,0.5267175573,0.5267175573
44,0.4814814815,0.5503875969,0.5037593985,0.5209125475,0.5267175573,0.5873015873,0.5228426396,0.5306122449,0.5503875969
45,0.5267175573,0.4814814815,0.4814814815,0.5444015444,0.5384615385,0.5503875969,0.5075376884,0.5151515152,0.5037593985
46,0.5151515152,0.5267175573,0.5873015873,0.5444015444,0.4814814815,0.5037593985,0.5345268542,0.5267175573,0.4925373134
47,0.4925373134,0.5151515152,0.5037593985,0.5873015873,0.5444015444,0.5209125475,0.5463917526,0.5424164524,0.5189873418
48,0.5037593985,0.5151515152,0.5384615385,0.5151515152,0.568627451,0.5267175573,0.4925373134,0.5189873418,0.5075376884
49,0.4184397163,0.5037593985,0.5151515152,0.5094339623,0.4925373134,0.5444015444,0.5075376884,0.5,0.5345268542
50,0.4925373134,0.4705882353,0.4705882353,0.5094339623,0.4545454545,0.4981273408,0.4814814815,0.466992665,0.5345268542
51,0.4598540146,0.5267175573,0.5037593985,0.4925373134,0.5267175573,0.5037593985,0.5037593985,0.5075376884,0.5075376884
52,0.4925373134,0.5267175573,0.4925373134,0.5384615385,0.5503875969,0.5325670498,0.5306122449,0.5424164524,0.5584415584
53,0.4388489209,0.5037593985,0.5503875969,0.5209125475,0.5267175573,0.5444015444,0.5037593985,0.5306122449,0.5345268542
54,0.4388489209,0.5267175573,0.5625,0.5151515152,0.5873015873,0.5564202335,0.5267175573,0.5584415584,0.5189873418
55,0.4285714286,0.5151515152,0.4925373134,0.5151515152,0.5325670498,0.4925373134,0.4888337469,0.5189873418,0.5113350126
56,0.4388489209,0.5873015873,0.5151515152,0.5384615385,0.5444015444,0.5267175573,0.5037593985,0.5706806283,0.5037593985
57,0.4492753623,0.5037593985,0.5037593985,0.5151515152,0.5151515152,0.5444015444,0.4925373134,0.5228426396,0.5544041451
58,0.5037593985,0.5267175573,0.5503875969,0.5209125475,0.5444015444,0.5503875969,0.4888337469,0.5075376884,0.5544041451
59,0.5267175573,0.4705882353,0.5267175573,0.5748031496,0.5384615385,0.5209125475,0.5424164524,0.5424164524,0.4925373134
60,0.4705882353,0.5503875969,0.5151515152,0.5444015444,0.5209125475,0.5209125475,0.5384615385,0.5267175573,0.5384615385
61,0.4285714286,0.4925373134,0.5748031496,0.5094339623,0.5325670498,0.581027668,0.5151515152,0.5463917526,0.5463917526
62,0.4814814815,0.4598540146,0.4925373134,0.4814814815,0.5094339623,0.5444015444,0.5113350126,0.5113350126,0.5503875969
63,0.4492753623,0.5037593985,0.6129032258,0.5151515152,0.5325670498,0.5267175573,0.5113350126,0.5306122449,0.5228426396
64,0.5151515152,0.5384615385,0.4492753623,0.5037593985,0.5209125475,0.5094339623,0.5384615385,0.5384615385,0.5151515152
65,0.4492753623,0.5151515152,0.5384615385,0.5625,0.5037593985,0.5503875969,0.5228426396,0.5037593985,0.5544041451
66,0.5037593985,0.5151515152,0.4814814815,0.5151515152,0.5037593985,0.5151515152,0.5037593985,0.5267175573,0.5384615385
67,0.5151515152,0.4492753623,0.4925373134,0.5151515152,0.5267175573,0.5267175573,0.5424164524,0.5113350126,0.5
68,0.4925373134,0.5037593985,0.4492753623,0.5094339623,0.5325670498,0.5151515152,0.5151515152,0.5037593985,0.4962593516
69,0.4705882353,0.5267175573,0.5267175573,0.5209125475,0.5503875969,0.5037593985,0.5151515152,0.5306122449,0.5228426396
70,0.4925373134,0.4814814815,0.5748031496,0.4925373134,0.4705882353,0.5325670498,0.5189873418,0.4814814815,0.5424164524
71,0.4388489209,0.4814814815,0.4598540146,0.4814814815,0.5094339623,0.5094339623,0.4778325123,0.5189873418,0.5113350126
72,0.5503875969,0.4925373134,0.4925373134,0.5209125475,0.5625,0.5209125475,0.5384615385,0.5267175573,0.4962593516
73,0.4184397163,0.5037593985,0.5625,0.4652014652,0.4981273408,0.5564202335,0.4705882353,0.4851485149,0.5267175573
74,0.4814814815,0.5384615385,0.5151515152,0.5209125475,0.5384615385,0.5325670498,0.5075376884,0.5037593985,0.5228426396
75,0.4705882353,0.5037593985,0.5151515152,0.5209125475,0.5384615385,0.5503875969,0.5503875969,0.5384615385,0.5228426396
76,0.4814814815,0.5267175573,0.5503875969,0.4545454545,0.5503875969,0.5625,0.4851485149,0.5384615385,0.5189873418
77,0.4925373134,0.5037593985,0.5037593985,0.4869888476,0.5325670498,0.5094339623,0.466992665,0.5189873418,0.4742014742
78,0.4492753623,0.5267175573,0.5037593985,0.4925373134,0.5151515152,0.5444015444,0.4778325123,0.4851485149,0.5228426396
79,0.4705882353,0.5267175573,0.5267175573,0.5503875969,0.4440433213,0.5503875969,0.5345268542,0.4778325123,0.5228426396
80,0.4705882353,0.5037593985,0.5151515152,0.5325670498,0.593625498,0.5503875969,0.5267175573,0.5228426396,0.5189873418
81,0.4925373134,0.5037593985,0.4598540146,0.5094339623,0.5444015444,0.5444015444,0.5306122449,0.5267175573,0.5151515152
82,0.5267175573,0.5503875969,0.5267175573,0.5151515152,0.5503875969,0.5625,0.5189873418,0.5075376884,0.5503875969
83,0.4285714286,0.4814814815,0.4814814815,0.4925373134,0.5503875969,0.5267175573,0.4925373134,0.5463917526,0.5424164524
84,0.4814814815,0.4814814815,0.4705882353,0.5037593985,0.5209125475,0.5503875969,0.5113350126,0.5267175573,0.5584415584
85,0.4925373134,0.4925373134,0.4925373134,0.5037593985,0.5267175573,0.5151515152,0.5151515152,0.5228426396,0.5345268542
86,0.4705882353,0.5151515152,0.4925373134,0.5209125475,0.5384615385,0.5503875969,0.5189873418,0.5424164524,0.5306122449
87,0.4705882353,0.5037593985,0.5151515152,0.568627451,0.5209125475,0.5151515152,0.5228426396,0.5424164524,0.5151515152
